NORAD NickName PRN SVN Name CONST SubCONST
31115 C30 30 001 M1 BeiDou BeiDou-2
34779 n/a n/a 002 G2 BeiDou BeiDou-2
36287 C01 01 003 G1 BeiDou BeiDou-2
36590 C03 03 004 G3 BeiDou BeiDou-2
37210 C04 04 006 G4 BeiDou BeiDou-2
36828 C06 06 005 IGSO1 BeiDou BeiDou-2
37256 C07 07 007 IGSO2 BeiDou BeiDou-2
37384 C08 08 008 IGSO3 BeiDou BeiDou-2
37763 C09 09 009 IGSO4 BeiDou BeiDou-2
37948 C10 10 010 IGSO5 BeiDou BeiDou-2
38091 C05 05 011 G5 BeiDou BeiDou-2
38250 C11 11 012 M3 BeiDou BeiDou-2
38251 C12 12 013 M4 BeiDou BeiDou-2
38774 C13 13 014 M5 BeiDou BeiDou-2
38775 C14 14 015 M6 BeiDou BeiDou-2
38953 C02 02 016 G6 BeiDou BeiDou-2
41434 C15/C13 15/13 017 IGSO6 BeiDou BeiDou-2
41586 C17 17 018 G7 BeiDou BeiDou-2
40549 C31 31 101 I1-S BeiDou BeiDou-3 
40748 C33 33 102 M1-S BeiDou BeiDou-3 
40749 C34 34 102 M2-S BeiDou BeiDou-3 
40938 C32 32 104 I2-S BeiDou BeiDou-3 
41315 C35 35 105 M3-S BeiDou BeiDou-3 
28922 E01/E51 01/51 001 GIOVE-A Galileo Galileo
32781 E16/E52 16/52 002 GIOVE-B Galileo Galileo
37846 E11 11 101 IOV-1 Galileo Galileo
37847 E12 12 102 IOV-2 Galileo Galileo
38857 E19 19 103 IOV-3 Galileo Galileo
38858 E20 20 104 IOV-4 Galileo Galileo
40128 E18 18 201 FOC-1 Galileo Galileo
40129 E14 14 202 FOC-2 Galileo Galileo
40544 E26 26 203 FOC-3 Galileo Galileo
40545 E22 22 204 FOC-4 Galileo Galileo
40889 E24 24 205 FOC-5 Galileo Galileo
40890 E30 30 206 FOC-6 Galileo Galileo
41174 E08 08 208 FOC-8 Galileo Galileo
41175 E09 09 209 FOC-9 Galileo Galileo
41550 E01 01 210 FOC-10 Galileo Galileo
41549 E02 02 211 FOC-11 Galileo Galileo
36111 R01 01 730 2456 Glonass Kosmos
39155 R02 02 747 2485 Glonass Kosmos
37867 R03 03 744 2476 Glonass Kosmos
37829 R04 04 742 2474 Glonass Kosmos
36113 R05 05 734 2458 Glonass Kosmos
36112 R06 06 733 2457 Glonass Kosmos
37868 R07 07 745 2477 Glonass Kosmos
37869 R08 08 743 2475 Glonass Kosmos
40315 R09k 09 702K 2501 Glonass Kosmos
29671 R10 10 717 2426 Glonass Kosmos
41554 R11 11 753 2516 Glonass Kosmos
37138 R12 12 737 2465 Glonass Kosmos
32393 R13 13 721 2434 Glonass Kosmos
29672 R14 14 715 2424 Glonass Kosmos
29670 R15 15 716 2425 Glonass Kosmos
37139 R16 16 736 2464 Glonass Kosmos
41330 R17 17 751 2514 Glonass Kosmos
39620 R18 18 754 2491 Glonass Kosmos
32275 R19 19 720 2433 Glonass Kosmos
32276 R20 20 719 2432 Glonass Kosmos
40001 R21 21 755 2500 Glonass Kosmos
36400 R22 22 731 2459 Glonass Kosmos
36402 R23 23 732 2460 Glonass Kosmos
36401 R24 24 735 2461 Glonass Kosmos
33379 R25 25 725 2443 Glonass Kosmos
37372 R26k 26 701K 2471 Glonass Kosmos
32395 R27r 27 723 2436 Glonass Kosmos
28915 R28r 28 714 2419 Glonass Kosmos
24876 G13 13 043 BIIR-2 GPS Block-IIR
25933 G11 11 046 BIIR-3 GPS Block-IIR
26360 G20 20 051 BIIR-4 GPS Block-IIR
26407 G28 28 044 BIIR-5 GPS Block-IIR
26605 G14 14 041 BIIR-6 GPS Block-IIR
26690 G18 18 054 BIIR-7 GPS Block-IIR
27663 G16 16 056 BIIR-8 GPS Block-IIR
27704 G21 21 045 BIIR-9 GPS Block-IIR
28129 G22 22 047 BIIR-10 GPS Block-IIR
28190 G19 19 059 BIIR-11 GPS Block-IIR
28361 G23 23 060 BIIR-12 GPS Block-IIR
28474 G02 02 061 BIIR-13 GPS Block-IIR
28874 G17 17 053 BIIRM-1 GPS Block-IIR-M
29486 G31 31 052 BIIRM-2 GPS Block-IIR-M
29601 G12 12 058 BIIRM-3 GPS Block-IIR-M
32260 G15 15 055 BIIRM-4 GPS Block-IIR-M
32384 G29 29 057 BIIRM-5 GPS Block-IIR-M
32711 G07 07 048 BIIRM-6 GPS Block-IIR-M
34661 G04 04 049 BIIRM-7 GPS Block-IIR-M
35752 G05 05 050 BIIRM-8 GPS Block-IIR-M
36585 G25 25 062 BIIF-1 GPS Block-IIF
37753 G01 01 063 BIIF-2 GPS Block-IIF
38833 G24 24 065 BIIF-3 GPS Block-IIF
39166 G27 27 066 BIIF-4 GPS Block-IIF
39533 G30 30 064 BIIF-5 GPS Block-IIF
39741 G06 06 067 BIIF-6 GPS Block-IIF
40105 G09 09 068 BIIF-7 GPS Block-IIF
40294 G03 03 069 BIIF-8 GPS Block-IIF
40534 G26 26 071 BIIF-9 GPS Block-IIF
40730 G08 08 072 BIIF-10 GPS Block-IIF
41019 G10 10 073 BIIF-11 GPS Block-IIF
41328 G32 32 070 BIIF-12 GPS Block-IIF
